"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:27:53.0481879 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49209 -> 132.72.81.126:1604","SUCCESS","Length: 52, seqnum: 0, connid: 0"
"4:27:53.0483262 AM","stub.exe","2304","Thread Create","","SUCCESS","Thread ID: 692"
"4:27:53.0485183 AM","stub.exe","2304","CreateFile","C:\","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:27:53.0485783 AM","stub.exe","2304","QueryDirectory","C:\*.txt","NO SUCH FILE","Filter: *.txt"
"4:27:53.0486462 AM","stub.exe","2304","CloseFile","C:\","SUCCESS",""
"4:27:53.0486959 AM","stub.exe","2304","CreateFile","C:\","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:27:53.0487178 AM","stub.exe","2304","QueryDirectory","C:\*","SUCCESS","Filter: *, 1: $Recycle.Bin"
"4:27:53.0487529 AM","stub.exe","2304","QueryDirectory","C:\","SUCCESS","0: Documents and Settings, 1: pagefile.sys, 2: PerfLogs, 3: Program Files, 4: Program Files (x86), 5: ProgramData, 6: Recovery, 7: System Volume Information, 8: termsrv.bak, 9: Users, 10: Windows"
"4:27:53.0488272 AM","stub.exe","2304","CreateFile","C:\PerfLogs","ACCESS DENIED","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"4:27:53.0489108 AM","stub.exe","2304","CreateFile","C:\PerfLogs","ACCESS DENIED","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"4:27:53.0489651 AM","stub.exe","2304","CreateFile","C:\Program Files","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:27:53.0489866 AM","stub.exe","2304","QueryDirectory","C:\Program Files\*.txt","NO SUCH FILE","Filter: *.txt"
"4:27:53.0490102 AM","stub.exe","2304","CloseFile","C:\Program Files","SUCCESS",""
"4:27:53.0490587 AM","stub.exe","2304","CreateFile","C:\Program Files","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:27:53.0490733 AM","stub.exe","2304","QueryDirectory","C:\Program Files\*","SUCCESS","Filter: *, 1: ."
"4:27:53.0490915 AM","stub.exe","2304","QueryDirectory","C:\Program Files","SUCCESS","0: .., 1: 7-Zip, 2: Common Files, 3: desktop.ini, 4: DVD Maker, 5: Internet Explorer, 6: Microsoft Games, 7: MSBuild, 8: Oracle, 9: Reference Assemblies, 10: Uninstall Information, 11: Windows Defender, 12: Windows Journal, 13: Windows Mail, 14: Windows Media Player, 15: Windows NT, 16: Windows Photo Viewer, 17: Windows Portable Devices, 18: Windows Sidebar"
"4:27:53.0491439 AM","stub.exe","2304","CreateFile","C:\Program Files\7-Zip","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:27:53.0491757 AM","stub.exe","2304","QueryDirectory","C:\Program Files\7-Zip\*.txt","SUCCESS","Filter: *.txt, 1: History.txt"
"4:27:53.0491963 AM","stub.exe","2304","QueryDirectory","C:\Program Files\7-Zip","SUCCESS","0: License.txt, 1: readme.txt"
"4:27:53.0492079 AM","stub.exe","2304","QueryDirectory","C:\Program Files\7-Zip","NO MORE FILES",""
"4:27:53.0492148 AM","stub.exe","2304","CloseFile","C:\Program Files\7-Zip","SUCCESS",""
"4:27:53.0492609 AM","stub.exe","2304","CreateFile","C:\Program Files\7-Zip","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:27:53.0492761 AM","stub.exe","2304","QueryDirectory","C:\Program Files\7-Zip\*","SUCCESS","Filter: *, 1: ."
