"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:39:14.2951124 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49209 -> 132.72.81.126:1604","SUCCESS","Length: 54, seqnum: 0, connid: 0"
"4:39:14.2954013 AM","stub.exe","2304","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:39:14.2954255 AM","stub.exe","2304","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\ProfileList","SUCCESS","Desired Access: Read"
"4:39:14.2954516 AM","stub.exe","2304","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:39:14.2954613 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\ProgramData","SUCCESS","Type: REG_EXPAND_SZ, Length: 52, Data: %SystemDrive%\ProgramData"
"4:39:14.2954707 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\ProgramData","SUCCESS","Type: REG_EXPAND_SZ, Length: 52, Data: %SystemDrive%\ProgramData"
"4:39:14.2954810 AM","stub.exe","2304","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList","SUCCESS",""
"4:39:14.2954965 AM","stub.exe","2304","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:39:14.2955056 AM","stub.exe","2304","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\ProfileList","SUCCESS","Desired Access: Read"
"4:39:14.2955137 AM","stub.exe","2304","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:39:14.2955186 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\ProgramData","SUCCESS","Type: REG_EXPAND_SZ, Length: 52, Data: %SystemDrive%\ProgramData"
"4:39:14.2955365 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\ProgramData","SUCCESS","Type: REG_EXPAND_SZ, Length: 52, Data: %SystemDrive%\ProgramData"
"4:39:14.2955440 AM","stub.exe","2304","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList","SUCCESS",""
"4:39:14.2956031 AM","stub.exe","2304","RegQueryKey","HKU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:39:14.2956119 AM","stub.exe","2304","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS","Desired Access: Read"
"4:39:14.2956247 AM","stub.exe","2304","RegSetInfoKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:39:14.2956298 AM","stub.exe","2304","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders\AppData","SUCCESS","Type: REG_EXPAND_SZ, Length: 60, Data: %USERPROFILE%\AppData\Roaming"
"4:39:14.2956359 AM","stub.exe","2304","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders\AppData","SUCCESS","Type: REG_EXPAND_SZ, Length: 60, Data: %USERPROFILE%\AppData\Roaming"
"4:39:14.2956438 AM","stub.exe","2304","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:39:14.2956513 AM","stub.exe","2304","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001","REPARSE","Desired Access: Read"
"4:39:14.2956759 AM","stub.exe","2304","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001","SUCCESS","Desired Access: Read"
"4:39:14.2956853 AM","stub.exe","2304","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:39:14.2956898 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001\ProfileImagePath","SUCCESS","Type: REG_EXPAND_SZ, Length: 30, Data: C:\Users\admin"
"4:39:14.2956959 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001\ProfileImagePath","SUCCESS","Type: REG_EXPAND_SZ, Length: 30, Data: C:\Users\admin"
"4:39:14.2957026 AM","stub.exe","2304","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\ProfileList\S-1-5-21-1926679039-1148192382-246804733-1001","SUCCESS",""
"4:39:14.2957104 AM","stub.exe","2304","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders","SUCCESS",""
"4:39:14.2958374 AM","stub.exe","2304","CreateFile","C:\Users\admin\AppData\Roaming\Microsoft\Network\Connections\Pbk\_hiddenPbk","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"4:39:14.2958881 AM","stub.exe","2304","CloseFile","C:\Users\admin\AppData\Roaming\Microsoft\Network\Connections\Pbk\_hiddenPbk","SUCCESS",""
"4:39:14.2960157 AM","stub.exe","2304","CreateFile","C:\Users\admin\AppData\Roaming\Microsoft\Network\Connections\Pbk\_hiddenPbk","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
