"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:15:43.9691868 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49209 -> 132.72.81.126:1604","SUCCESS","Length: 126, seqnum: 0, connid: 0"
"4:15:43.9695369 AM","stub.exe","2304","Thread Create","","SUCCESS","Thread ID: 1340"
"4:15:43.9710648 AM","stub.exe","2304","TCP Connect","DarkCometClient.bgu.ac.il:49225 -> 132.72.81.126:1604","SUCCESS","Length: 0, mss: 1460, sackopt: 0, tsopt: 0, wsopt: 0, rcvwin: 64240, rcvwinscale: 0, sndwinscale: 0, seqnum: 0, connid: 0"
"4:15:43.9733744 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49225 -> 132.72.81.126:1604","SUCCESS","Length: 12, seqnum: 0, connid: 0"
"4:15:43.9737839 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49225 -> 132.72.81.126:1604","SUCCESS","Length: 126, startime: 7525, endtime: 7525, seqnum: 0, connid: 0"
"4:15:43.9742843 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49225 -> 132.72.81.126:1604","SUCCESS","Length: 3, seqnum: 0, connid: 0"
"4:15:44.0109436 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49225 -> 132.72.81.126:1604","SUCCESS","Length: 2, seqnum: 0, connid: 0"
"4:15:44.0114704 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49225 -> 132.72.81.126:1604","SUCCESS","Length: 1, startime: 7525, endtime: 7525, seqnum: 0, connid: 0"
"4:15:44.0121884 AM","stub.exe","2304","CreateFile","C:\Users\admin\AppData\Roaming\script.bat","SUCCESS","Desired Access: Generic Read/Write, Disposition: OverwriteIf, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: 0, OpenResult: Overwritten"
"4:15:44.0136699 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49225 -> 132.72.81.126:1604","SUCCESS","Length: 86, seqnum: 0, connid: 0"
"4:15:44.0362093 AM","stub.exe","2304","WriteFile","C:\Users\admin\AppData\Roaming\script.bat","SUCCESS","Offset: 0, Length: 86, Priority: Normal"
"4:15:44.0365845 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49225 -> 132.72.81.126:1604","SUCCESS","Length: 1, startime: 7526, endtime: 7526, seqnum: 0, connid: 0"
"4:15:44.0401553 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49225 -> 132.72.81.126:1604","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"4:15:44.0403902 AM","stub.exe","2304","CloseFile","C:\Users\admin\AppData\Roaming\script.bat","SUCCESS",""
"4:15:44.0408754 AM","stub.exe","2304","CreateFile","C:\Users\admin\AppData\Roaming\script.bat","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:15:44.0409579 AM","stub.exe","2304","QueryBasicInformationFile","C:\Users\admin\AppData\Roaming\script.bat","SUCCESS","CreationTime: 3/25/2014 6:33:32 AM, LastAccessTime: 3/25/2014 6:33:32 AM, LastWriteTime: 3/30/2014 4:15:44 AM, ChangeTime: 3/30/2014 4:15:44 AM, FileAttributes: ANCI"
"4:15:44.0409900 AM","stub.exe","2304","CloseFile","C:\Users\admin\AppData\Roaming\script.bat","SUCCESS",""
"4:15:44.0412179 AM","stub.exe","2304","CreateFile","C:\Users\admin\AppData\Roaming\script.bat","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"4:15:44.0413025 AM","stub.exe","2304","QueryStandardInformationFile","C:\Users\admin\AppData\Roaming\script.bat","SUCCESS","AllocationSize: 88, EndOfFile: 86, NumberOfLinks: 1, DeletePending: False, Directory: False"
"4:15:44.0413404 AM","stub.exe","2304","ReadFile","C:\Users\admin\AppData\Roaming\script.bat","SUCCESS","Offset: 0, Length: 86, Priority: Normal"
"4:15:44.0413898 AM","stub.exe","2304","CloseFile","C:\Users\admin\AppData\Roaming\script.bat","SUCCESS",""
"4:15:44.0415292 AM","stub.exe","2304","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:15:44.0415829 AM","stub.exe","2304","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS","Desired Access: Query Value"
"4:15:44.0416314 AM","stub.exe","2304","RegSetInfoKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:15:44.0416592 AM","stub.exe","2304","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\MaximizeApps","NAME NOT FOUND","Length: 144"
"4:15:44.0416953 AM","stub.exe","2304","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS",""
"4:15:44.0417250 AM","stub.exe","2304","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:15:44.0417623 AM","stub.exe","2304","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS","Desired Access: Query Value"
"4:15:44.0418108 AM","stub.exe","2304","RegSetInfoKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:15:44.0418326 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\MaximizeApps","NAME NOT FOUND","Length: 144"
"4:15:44.0418635 AM","stub.exe","2304","RegCloseKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer","SUCCESS",""
"4:15:44.0419335 AM","stub.exe","2304","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"4:15:44.0419660 AM","stub.exe","2304","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Policies\Explorer","REPARSE","Desired Access: Query Value"
"4:15:44.0420436 AM","stub.exe","2304","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","SUCCESS","Desired Access: Query Value"
"4:15:44.0420896 AM","stub.exe","2304","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"4:15:44.0421148 AM","stub.exe","2304","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer\EnableShellExecuteHooks","NAME NOT FOUND","Length: 144"
