"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:48:04.4680579 AM","stub.exe","3796","TCP Receive","DarkCometClient.bgu.ac.il:49263 -> 132.72.81.126:1604","SUCCESS","Length: 22, seqnum: 0, connid: 0"
"4:48:04.4682331 AM","stub.exe","3796","RegOpenKey","HKLM\Hardware\DeviceMap\VIDEO","SUCCESS","Desired Access: Read, Maximum Allowed"
"4:48:04.4682764 AM","stub.exe","3796","RegQueryValue","HKLM\HARDWARE\DEVICEMAP\VIDEO\MaxObjectNumber","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4"
"4:48:04.4683091 AM","stub.exe","3796","RegCloseKey","HKLM\HARDWARE\DEVICEMAP\VIDEO","SUCCESS",""
"4:48:04.4683413 AM","stub.exe","3796","RegOpenKey","HKLM\Hardware\DeviceMap\Video","SUCCESS","Desired Access: Read"
"4:48:04.4683564 AM","stub.exe","3796","RegQueryValue","HKLM\HARDWARE\DEVICEMAP\VIDEO\\Device\Video3","SUCCESS","Type: REG_SZ, Length: 202, Data: \Registry\Machine\System\CurrentControlSet\Control\Video\{E0E46BBC-B321-4CC8-AD65-65F67E039665}\0000"
"4:48:04.4683761 AM","stub.exe","3796","RegOpenKey","HKLM\System\CurrentControlSet\CONTROL\VIDEO\{E0E46BBC-B321-4CC8-AD65-65F67E039665}\0000","REPARSE","Desired Access: Read"
"4:48:04.4683976 AM","stub.exe","3796","RegOpenKey","HKLM\System\CurrentControlSet\CONTROL\VIDEO\{E0E46BBC-B321-4CC8-AD65-65F67E039665}\0000","SUCCESS","Desired Access: Read"
"4:48:04.4684228 AM","stub.exe","3796","RegCloseKey","HKLM\HARDWARE\DEVICEMAP\VIDEO","SUCCESS",""
"4:48:04.4684331 AM","stub.exe","3796","RegQueryValue","HKLM\System\CurrentControlSet\Control\Video\{E0E46BBC-B321-4CC8-AD65-65F67E039665}\0000\PruningMode","NAME NOT FOUND","Length: 52"
"4:48:04.4684492 AM","stub.exe","3796","RegCloseKey","HKLM\System\CurrentControlSet\Control\Video\{E0E46BBC-B321-4CC8-AD65-65F67E039665}\0000","SUCCESS",""
"4:48:04.4684792 AM","stub.exe","3796","RegCreateKey","HKLM\System\CurrentControlSet\Control\DeviceClasses","REPARSE","Desired Access: All Access"
"4:48:04.4684907 AM","stub.exe","3796","RegCreateKey","HKLM\System\CurrentControlSet\Control\DeviceClasses","SUCCESS","Desired Access: All Access, Disposition: REG_OPENED_EXISTING_KEY"
"4:48:04.4685040 AM","stub.exe","3796","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{e6f07b5f-ee97-4a90-b076-33f57bf4eaa7}","NAME NOT FOUND","Desired Access: All Access"
"4:48:04.4685237 AM","stub.exe","3796","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses","SUCCESS",""
"4:48:04.4685395 AM","stub.exe","3796","RegOpenKey","HKLM\Hardware\DeviceMap\Video","SUCCESS","Desired Access: Read"
"4:48:04.4685489 AM","stub.exe","3796","RegQueryValue","HKLM\HARDWARE\DEVICEMAP\VIDEO\\Device\Video3","SUCCESS","Type: REG_SZ, Length: 202, Data: \Registry\Machine\System\CurrentControlSet\Control\Video\{E0E46BBC-B321-4CC8-AD65-65F67E039665}\0000"
"4:48:04.4685637 AM","stub.exe","3796","RegCloseKey","HKLM\HARDWARE\DEVICEMAP\VIDEO","SUCCESS",""
"4:48:04.4685913 AM","stub.exe","3796","RegOpenKey","HKLM\Hardware\DeviceMap\VIDEO","SUCCESS","Desired Access: Read, Maximum Allowed"
"4:48:04.4686004 AM","stub.exe","3796","RegQueryValue","HKLM\HARDWARE\DEVICEMAP\VIDEO\MaxObjectNumber","SUCCESS","Type: REG_DWORD, Length: 4, Data: 4"
"4:48:04.4686125 AM","stub.exe","3796","RegCloseKey","HKLM\HARDWARE\DEVICEMAP\VIDEO","SUCCESS",""
"4:48:04.4686283 AM","stub.exe","3796","RegOpenKey","HKLM\Hardware\DeviceMap\Video","SUCCESS","Desired Access: Read"
"4:48:04.4686383 AM","stub.exe","3796","RegQueryValue","HKLM\HARDWARE\DEVICEMAP\VIDEO\\Device\Video0","SUCCESS","Type: REG_SZ, Length: 202, Data: \Registry\Machine\System\CurrentControlSet\Control\Video\{DEB039CC-B704-4F53-B43E-9DD4432FA2E9}\0000"
"4:48:04.4686495 AM","stub.exe","3796","RegOpenKey","HKLM\System\CurrentControlSet\CONTROL\VIDEO\{DEB039CC-B704-4F53-B43E-9DD4432FA2E9}\0000","REPARSE","Desired Access: Read"
"4:48:04.4686595 AM","stub.exe","3796","RegOpenKey","HKLM\System\CurrentControlSet\CONTROL\VIDEO\{DEB039CC-B704-4F53-B43E-9DD4432FA2E9}\0000","SUCCESS","Desired Access: Read"
"4:48:04.4686868 AM","stub.exe","3796","RegCloseKey","HKLM\HARDWARE\DEVICEMAP\VIDEO","SUCCESS",""
