"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:49:29.3319879 AM","stub.exe","3796","TCP Receive","DarkCometClient.bgu.ac.il:49263 -> 132.72.81.126:1604","SUCCESS","Length: 82, seqnum: 0, connid: 0"
"4:49:29.3321252 AM","stub.exe","3796","Thread Create","","SUCCESS","Thread ID: 2124"
"4:49:29.3328724 AM","stub.exe","3796","TCP Connect","DarkCometClient.bgu.ac.il:49264 -> 132.72.81.126:1604","SUCCESS","Length: 0, mss: 1460, sackopt: 0, tsopt: 0, wsopt: 0, rcvwin: 64240, rcvwinscale: 0, sndwinscale: 0, seqnum: 0, connid: 0"
"4:49:29.3336762 AM","stub.exe","3796","TCP Receive","DarkCometClient.bgu.ac.il:49264 -> 132.72.81.126:1604","SUCCESS","Length: 12, seqnum: 0, connid: 0"
"4:49:29.3338004 AM","stub.exe","3796","TCP Send","DarkCometClient.bgu.ac.il:49264 -> 132.72.81.126:1604","SUCCESS","Length: 22, startime: 27776, endtime: 27776, seqnum: 0, connid: 0"
"4:49:29.3340084 AM","stub.exe","3796","TCP Receive","DarkCometClient.bgu.ac.il:49264 -> 132.72.81.126:1604","SUCCESS","Length: 3, seqnum: 0, connid: 0"
"4:49:29.3342023 AM","stub.exe","3796","TCP Send","DarkCometClient.bgu.ac.il:49263 -> 132.72.81.126:1604","SUCCESS","Length: 28, startime: 27776, endtime: 27776, seqnum: 0, connid: 0"
"4:49:29.3342881 AM","stub.exe","3796","Thread Create","","SUCCESS","Thread ID: 3940"
"4:49:29.3348049 AM","stub.exe","3796","TCP Connect","DarkCometClient.bgu.ac.il:49265 -> 132.72.81.126:1604","SUCCESS","Length: 0, mss: 1460, sackopt: 0, tsopt: 0, wsopt: 0, rcvwin: 64240, rcvwinscale: 0, sndwinscale: 0, seqnum: 0, connid: 0"
"4:49:29.3350922 AM","stub.exe","3796","TCP Receive","DarkCometClient.bgu.ac.il:49265 -> 132.72.81.126:1604","SUCCESS","Length: 12, seqnum: 0, connid: 0"
"4:49:29.3352511 AM","stub.exe","3796","TCP Send","DarkCometClient.bgu.ac.il:49265 -> 132.72.81.126:1604","SUCCESS","Length: 26, startime: 27776, endtime: 27776, seqnum: 0, connid: 0"
