"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:34:02.6871516 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 54, seqnum: 0, connid: 0"
"5:34:02.6872971 AM","stub.exe","11368","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"5:34:02.6873238 AM","stub.exe","11368","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS","Desired Access: Query Value"
"5:34:02.6873478 AM","stub.exe","11368","RegSetInfoKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"5:34:02.6873560 AM","stub.exe","11368","RegQueryValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\MaximizeApps","NAME NOT FOUND","Length: 144"
"5:34:02.6873696 AM","stub.exe","11368","RegCloseKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS",""
"5:34:02.6873796 AM","stub.exe","11368","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"5:34:02.6873903 AM","stub.exe","11368","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer","SUCCESS","Desired Access: Query Value"
"5:34:02.6874097 AM","stub.exe","11368","RegSetInfoKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"5:34:02.6874142 AM","stub.exe","11368","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer\MaximizeApps","NAME NOT FOUND","Length: 144"
"5:34:02.6874230 AM","stub.exe","11368","RegCloseKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\explorer","SUCCESS",""
"5:34:02.6876107 AM","stub.exe","11368","CreateFile","C:\Users\admin\Downloads","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"5:34:02.6876362 AM","stub.exe","11368","QueryBasicInformationFile","C:\Users\admin\Downloads","SUCCESS","CreationTime: 3/13/2014 12:08:42 PM, LastAccessTime: 3/23/2014 3:06:57 AM, LastWriteTime: 3/23/2014 3:06:57 AM, ChangeTime: 3/23/2014 3:06:57 AM, FileAttributes: RD"
"5:34:02.6876459 AM","stub.exe","11368","CloseFile","C:\Users\admin\Downloads","SUCCESS",""
"5:34:02.6877536 AM","stub.exe","11368","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"5:34:02.6877648 AM","stub.exe","11368","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\Desktop\NameSpace\DelegateFolders","NAME NOT FOUND","Desired Access: Query Value"
"5:34:02.6878006 AM","stub.exe","11368","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"5:34:02.6878073 AM","stub.exe","11368","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\Explorer\Desktop\NameSpace\DelegateFolders","NAME NOT FOUND","Desired Access: Query Value"
"5:34:02.6878237 AM","stub.exe","11368","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
