"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:56:58.0440205 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 30, seqnum: 0, connid: 0"
"5:56:58.0464396 AM","stub.exe","11368","Thread Create","","SUCCESS","Thread ID: 13988"
"5:56:58.0469946 AM","stub.exe","11368","TCP Connect","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 0, mss: 1460, sackopt: 0, tsopt: 0, wsopt: 0, rcvwin: 64240, rcvwinscale: 0, sndwinscale: 0, seqnum: 0, connid: 0"
"5:56:58.0473267 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 12, seqnum: 0, connid: 0"
"5:56:58.0474316 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 40, startime: 140411, endtime: 140411, seqnum: 0, connid: 0"
"5:56:58.0475966 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 3, seqnum: 0, connid: 0"
"5:56:58.0476810 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 1024, startime: 140411, endtime: 140411, seqnum: 0, connid: 0"
"5:56:58.0479821 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"5:56:58.0480868 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 1024, startime: 140411, endtime: 140411, seqnum: 0, connid: 0"
"5:56:58.0482463 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"5:56:58.0483464 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 1024, startime: 140411, endtime: 140411, seqnum: 0, connid: 0"
"5:56:58.0484962 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"5:56:58.0485869 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 1024, startime: 140411, endtime: 140411, seqnum: 0, connid: 0"
"5:56:58.0486964 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"5:56:58.0487989 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 726, startime: 140411, endtime: 140411, seqnum: 0, connid: 0"
"5:56:58.0488662 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"5:56:58.0489921 AM","stub.exe","11368","Thread Exit","","SUCCESS","Thread ID: 13988, User Time: 0.0000000, Kernel Time: 0.0000000"
"5:56:58.0795295 AM","stub.exe","11368","TCP Disconnect","admin-PC.bgu.ac.il:49487 -> ADMIN-PC:1604","SUCCESS","Length: 0, seqnum: 0, connid: 0"
