"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:42:40.2323192 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49209 -> 132.72.81.126:1604","SUCCESS","Length: 42, seqnum: 0, connid: 0"
"4:42:40.2324438 AM","stub.exe","2304","Thread Create","","SUCCESS","Thread ID: 4660"
"4:42:40.2328123 AM","stub.exe","2304","CreateFile","C:\Windows\SysWOW64\cmd.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:42:40.2328736 AM","stub.exe","2304","QueryBasicInformationFile","C:\Windows\SysWOW64\cmd.exe","SUCCESS","CreationTime: 11/20/2010 8:24:03 PM, LastAccessTime: 11/20/2010 8:24:03 PM, LastWriteTime: 11/20/2010 8:24:03 PM, ChangeTime: 3/13/2014 12:56:55 PM, FileAttributes: A"
"4:42:40.2328817 AM","stub.exe","2304","CloseFile","C:\Windows\SysWOW64\cmd.exe","SUCCESS",""
"4:42:40.2329618 AM","stub.exe","2304","CreateFile","C:\Windows\SysWOW64\cmd.exe","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:42:40.2329996 AM","stub.exe","2304","QueryBasicInformationFile","C:\Windows\SysWOW64\cmd.exe","SUCCESS","CreationTime: 11/20/2010 8:24:03 PM, LastAccessTime: 11/20/2010 8:24:03 PM, LastWriteTime: 11/20/2010 8:24:03 PM, ChangeTime: 3/13/2014 12:56:55 PM, FileAttributes: A"
"4:42:40.2330060 AM","stub.exe","2304","CloseFile","C:\Windows\SysWOW64\cmd.exe","SUCCESS",""
"4:42:40.2330697 AM","stub.exe","2304","CreateFile","C:\Windows\SysWOW64\cmd.exe","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"4:42:40.2331130 AM","stub.exe","2304","CreateFileMapping","C:\Windows\SysWOW64\cmd.exe","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
