"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"4:43:27.4550731 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49209 -> 132.72.81.126:1604","SUCCESS","Length: 82, seqnum: 0, connid: 0"
"4:43:28.2309268 AM","stub.exe","2304","Thread Create","","SUCCESS","Thread ID: 4924"
"4:43:28.2329102 AM","stub.exe","2304","TCP Connect","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 0, mss: 1460, sackopt: 0, tsopt: 0, wsopt: 0, rcvwin: 64240, rcvwinscale: 0, sndwinscale: 0, seqnum: 0, connid: 0"
"4:43:28.2341775 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 12, seqnum: 0, connid: 0"
"4:43:28.2345773 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 38, startime: 24165, endtime: 24165, seqnum: 0, connid: 0"
"4:43:28.2352244 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 3, seqnum: 0, connid: 0"
"4:43:28.2356390 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 24165, endtime: 24165, seqnum: 0, connid: 0"
"4:43:28.2367404 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:43:28.2371193 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 24165, endtime: 24165, seqnum: 0, connid: 0"
"4:43:28.2377925 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:43:28.2382168 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 1024, startime: 24165, endtime: 24165, seqnum: 0, connid: 0"
"4:43:28.2385945 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:43:28.2389315 AM","stub.exe","2304","TCP Send","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 164, startime: 24165, endtime: 24165, seqnum: 0, connid: 0"
"4:43:28.2392989 AM","stub.exe","2304","TCP Receive","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"4:43:28.2399757 AM","stub.exe","2304","Thread Exit","","SUCCESS","Thread ID: 4924, User Time: 0.0000000, Kernel Time: 0.0000000"
"4:43:28.2546430 AM","stub.exe","2304","TCP Disconnect","DarkCometClient.bgu.ac.il:49254 -> 132.72.81.126:1604","SUCCESS","Length: 0, seqnum: 0, connid: 0"
