"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"6:05:42.3549908 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 56, seqnum: 0, connid: 0"
"6:05:42.3591135 AM","stub.exe","11368","Thread Create","","SUCCESS","Thread ID: 15160"
"6:05:42.3610227 AM","stub.exe","11368","TCP Connect","admin-PC.bgu.ac.il:49578 -> ADMIN-PC:1604","SUCCESS","Length: 0, mss: 1460, sackopt: 0, tsopt: 0, wsopt: 0, rcvwin: 64240, rcvwinscale: 0, sndwinscale: 0, seqnum: 0, connid: 0"
"6:05:42.3692024 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49578 -> ADMIN-PC:1604","SUCCESS","Length: 12, seqnum: 0, connid: 0"
"6:05:42.3693753 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49578 -> ADMIN-PC:1604","SUCCESS","Length: 46, startime: 145653, endtime: 145653, seqnum: 0, connid: 0"
"6:05:42.3699191 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49578 -> ADMIN-PC:1604","SUCCESS","Length: 3, seqnum: 0, connid: 0"
"6:05:42.3700744 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49578 -> ADMIN-PC:1604","SUCCESS","Length: 504, startime: 145653, endtime: 145653, seqnum: 0, connid: 0"
"6:05:42.3704071 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49578 -> ADMIN-PC:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"6:05:42.3706300 AM","stub.exe","11368","Thread Exit","","SUCCESS","Thread ID: 15160, User Time: 0.0000000, Kernel Time: 0.0000000"
"6:05:42.3761881 AM","stub.exe","11368","TCP Disconnect","admin-PC.bgu.ac.il:49578 -> ADMIN-PC:1604","SUCCESS","Length: 0, seqnum: 0, connid: 0"
