"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"6:02:19.7325602 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 46, seqnum: 0, connid: 0"
"6:02:19.7328705 AM","stub.exe","11368","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"6:02:19.7329384 AM","stub.exe","11368","RegCreateKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Desired Access: All Access, Disposition: REG_OPENED_EXISTING_KEY"
"6:02:19.7330849 AM","stub.exe","11368","RegSetInfoKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"6:02:19.7331443 AM","stub.exe","11368","RegQueryKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Query: Cached, SubKeys: 12, Values: 0"
"6:02:19.7331980 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 0, Name: AddressBook"
"6:02:19.7332517 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 1, Name: Connection Manager"
"6:02:19.7332935 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 2, Name: DirectDrawEx"
"6:02:19.7333178 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 3, Name: Fontcore"
"6:02:19.7333403 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 4, Name: IE40"
"6:02:19.7333633 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 5, Name: IE4Data"
"6:02:19.7333848 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 6, Name: IE5BAKEX"
"6:02:19.7334064 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 7, Name: IEData"
"6:02:19.7334279 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 8, Name: MobileOptionPack"
"6:02:19.7334494 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 9, Name: Notepad++"
"6:02:19.7334713 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 10, Name: SchedulingAgent"
"6:02:19.7334928 AM","stub.exe","11368","RegEnumKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS","Index: 11, Name: WIC"
"6:02:19.7335322 AM","stub.exe","11368","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"6:02:19.7335741 AM","stub.exe","11368","RegCreateKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook","SUCCESS","Desired Access: All Access, Disposition: REG_OPENED_EXISTING_KEY"
"6:02:19.7336572 AM","stub.exe","11368","RegSetInfoKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"6:02:19.7336933 AM","stub.exe","11368","RegCloseKey","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall","SUCCESS",""
"6:02:19.7337245 AM","stub.exe","11368","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook\DisplayName","NAME NOT FOUND","Length: 144"
"6:02:19.7337503 AM","stub.exe","11368","RegQueryValue","HKLM\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook\DisplayVersion","NAME NOT FOUND","Length: 144"
