"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:59:50.9224440 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 46, seqnum: 0, connid: 0"
"5:59:50.9237041 AM","stub.exe","11368","Thread Create","","SUCCESS","Thread ID: 13964"
"5:59:50.9252336 AM","stub.exe","11368","TCP Connect","admin-PC.bgu.ac.il:49490 -> ADMIN-PC:1604","SUCCESS","Length: 0, mss: 1460, sackopt: 0, tsopt: 0, wsopt: 0, rcvwin: 64240, rcvwinscale: 0, sndwinscale: 0, seqnum: 0, connid: 0"
"5:59:50.9365130 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49490 -> ADMIN-PC:1604","SUCCESS","Length: 12, seqnum: 0, connid: 0"
"5:59:50.9366607 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49490 -> ADMIN-PC:1604","SUCCESS","Length: 38, startime: 142140, endtime: 142140, seqnum: 0, connid: 0"
"5:59:50.9368536 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49490 -> ADMIN-PC:1604","SUCCESS","Length: 3, seqnum: 0, connid: 0"
"5:59:50.9369397 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49490 -> ADMIN-PC:1604","SUCCESS","Length: 344, startime: 142140, endtime: 142140, seqnum: 0, connid: 0"
"5:59:50.9372919 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49490 -> ADMIN-PC:1604","SUCCESS","Length: 1024, seqnum: 0, connid: 0"
"5:59:50.9375163 AM","stub.exe","11368","Thread Exit","","SUCCESS","Thread ID: 13964, User Time: 0.0000000, Kernel Time: 0.0000000"
"5:59:50.9501447 AM","stub.exe","11368","TCP Disconnect","admin-PC.bgu.ac.il:49490 -> ADMIN-PC:1604","SUCCESS","Length: 0, seqnum: 0, connid: 0"
"5:59:54.9822635 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 22, startime: 142180, endtime: 142180, seqnum: 0, connid: 0"
"6:00:14.9820833 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 22, startime: 142380, endtime: 142380, seqnum: 0, connid: 0"
