"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:23:52.1378781 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:23:52.1383834 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120551, endtime: 120551, seqnum: 0, connid: 0"
"5:23:52.6331072 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 22, startime: 120556, endtime: 120556, seqnum: 0, connid: 0"
"5:23:53.1392508 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:23:53.1397448 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120561, endtime: 120561, seqnum: 0, connid: 0"
"5:23:54.1409522 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:23:54.1416898 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120571, endtime: 120571, seqnum: 0, connid: 0"
"5:23:55.1423207 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:23:55.1428178 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120581, endtime: 120581, seqnum: 0, connid: 0"
"5:23:56.1284882 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:23:56.1286866 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120591, endtime: 120591, seqnum: 0, connid: 0"
"5:23:57.1301681 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:23:57.1306904 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120601, endtime: 120601, seqnum: 0, connid: 0"
"5:23:58.1316039 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:23:58.1326284 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120611, endtime: 120611, seqnum: 0, connid: 0"
"5:23:59.1338534 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:23:59.1343472 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120621, endtime: 120621, seqnum: 0, connid: 0"
"5:24:00.1348191 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:24:00.1349999 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120631, endtime: 120631, seqnum: 0, connid: 0"
"5:24:01.1372764 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:24:01.1377589 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120641, endtime: 120641, seqnum: 0, connid: 0"
"5:24:02.1393958 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:24:02.1398907 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120651, endtime: 120651, seqnum: 0, connid: 0"
"5:24:03.1407554 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:24:03.1415261 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120661, endtime: 120661, seqnum: 0, connid: 0"
"5:24:04.1425124 AM","stub.exe","11368","TCP Receive","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 10, seqnum: 0, connid: 0"
"5:24:04.1430055 AM","stub.exe","11368","TCP Send","admin-PC.bgu.ac.il:49368 -> ADMIN-PC:1604","SUCCESS","Length: 18, startime: 120671, endtime: 120671, seqnum: 0, connid: 0"
